Domain,Kind of Dev Involved,Example Work,Human Role It Supports/Replaces,What It Accelerates or Does Autonomously,Recommended Agentic Tools/Products,Practices to Pair With Them
Software/App Dev,"Application code, testing, CI/CD","Features, refactors, tests, PR pipelines",Developer,Writes/tests/PRs bounded features autonomously; reviews diffs like a peer reviewer,"Claude Code, GitHub Copilot Workspace, Cursor, Devin, Windsurf","Spec-driven dev, PR-based review, CI gating"
UI/UX,Frontend code + design systems,"Component libraries, design-to-code, accessibility",Frontend developer / designer,Turns specs/designs into working components; runs accessibility checks,"v0 (Vercel), Claude Code + design specs, Figma Make","Design-to-code handoff, component libraries"
Mobile,Platform-specific app code,"Native/cross-platform, device APIs, offline sync",Mobile developer,Implements features across iOS/Android; automates release-checklist work,"Cursor, Claude Code, GitHub Copilot","Spec-driven dev, device-farm test automation"
API,Backend code + API platform config,"Endpoint code, OpenAPI contracts, auth, gateway config",Backend developer,Generates endpoints from schema; does contract-testing work,"Claude Code, GitHub Copilot, Postman AI agent","OpenAPI-first spec-driven dev, contract testing"
Data/AI,"Data pipelines, model/prompt engineering","ETL/ELT, schema validation, embeddings, evals",Data engineer / ML engineer,Builds and monitors pipelines; runs evals like an ML test engineer,"Claude Code + dbt, Dagster/Airflow AI copilots, Databricks Assistant","Evals, schema validation, RAG pipelines"
Integration (iPaaS),Connector/workflow config,"Field mapping, transformation logic, retries",Integration developer,"Maps fields, builds transformations","Workato AI agents, Zapier Agents, n8n AI nodes",Human-in-loop approval for live workflow changes
"ERP (SAP, Oracle)",Configuration + custom modules,"Customizations, workflow config, master data rules",ERP functional/technical consultant,"Drafts config changes, validates in sandbox","SAP Joule, Oracle Fusion AI agents",Sandbox validation before production config push
CRM/Support,Workflow automation + scripting,"Business rules, macros, webhook handlers",Support/customer service agent,Resolves tickets end-to-end using account data,"Salesforce Agentforce, Intercom Fin, Zendesk AI agents","Escalation gating, memory of prior tickets"
Infra/DevOps,"Infrastructure-as-code, orchestration","Terraform/Ansible, monitoring/alerts",DevOps/SRE engineer,"Proposes IaC changes, detects drift, auto-remediates","GitHub Copilot for Infra, Datadog Bits AI, PagerDuty AIOps","IaC review gates, drift-detection alerts"
IoT/Embedded,Firmware + device/edge code,"Sensor handling, edge inference, protocols",Embedded/firmware engineer,Generates and simulates firmware logic,"Claude Code (firmware code gen), vendor SDK copilots (nascent)","Simulation-first, hardware-in-loop testing"
QA/Test Automation,Test scripting + framework config,"Test generation, regression/visual/load testing",QA/test engineer,"Generates tests, self-heals broken selectors","mabl, Testim, Applitools, Katalon AI, Claude Code (test-gen)","Self-healing selectors, CI-integrated evals"
Security,Policy-as-code + scanning config,"SAST/DAST rules, IAM policy, threat modeling",Security analyst/engineer,"Triages scans, drafts fixes, prioritizes by exploitability","GitHub Copilot Autofix, Snyk AI, Checkmarx AI",Human sign-off on exploitable-severity fixes
Analytics/BI,Query + dashboard logic,"SQL/dbt models, semantic layer, dashboards",Data analyst,Writes/validates SQL from plain-language questions,"Claude + dbt/warehouse MCP, ThoughtSpot Sage, Tableau Agent",Query validation against ground truth
Finance/RPA,Process scripting + bot config,"Reconciliation, invoice parsing, workflow bots",Accounts/finance ops analyst,Handles document-to-ledger reconciliation,"UiPath Agents, Automation Anywhere AI, Claude for reconciliation workflows","Audit trail logging, exception review"
Legal/Compliance tech,Rule/document logic,"Contract clause libraries, policy checks",Paralegal/contract analyst,"Flags clause deviations, drafts redlines","Harvey AI, Spellbook, Claude for contract review","Playbook-based clause matching, human final review"
Maintenance/Legacy modernization,"Refactoring, dependency upgrades","Framework migrations, dead code removal",Maintenance engineer,"Runs upgrades, fixes breaking changes, verifies via tests","Claude Code, GitHub Copilot, Amazon Q Developer (migrations)","Test-suite-gated upgrades, worktree isolation"
Production Support/Ops,"Incident triage, log/metric correlation","On-call diagnosis, runbook execution","L2/L3 support engineer, SRE","Correlates logs/metrics, drafts root cause, runs runbooks","PagerDuty AIOps, Datadog Bits AI, Claude for runbook execution",Human gate on remediation actions
Release/Build Engineering,Build pipeline + packaging config,"Version bumps, changelogs, artifact publishing",Release manager,"Generates changelogs, manages branching","GitHub Copilot Workspace, Claude Code (changelog/versioning)",Automated changelog + branch policy enforcement
Migration (platform/data),Transformation scripting + validation,"Cloud/DB migrations, data reconciliation",Migration engineer,"Scripts transformations, runs reconciliation diffs","Claude Code, Amazon Q, GitHub Copilot",Reconciliation diffs pre/post migration
Localization/i18n,String extraction + translation pipeline,"Key extraction, translation sync, locale QA",Localization engineer,"Extracts strings, manages translation memory","Lokalise AI, Claude for translation QA","Translation-memory sync, locale-specific evals"
Game Development,"Gameplay code, engine scripting, asset pipelines","Level scripting, NPC behavior, shaders, build automation",Gameplay/tools programmer,"Generates NPC behavior trees, automates asset builds, playtests","Unity Muse, Claude Code (gameplay scripting), Scenario.gg (assets)","Playtesting agents, asset-pipeline automation"
E-commerce Development,Storefront code + platform config,"Product catalog logic, checkout flows, payment integration",Platform developer / merchandising ops,"Manages catalog sync, tests checkout flows","Shopify Sidekick, Claude Code + platform APIs",Checkout-flow test automation
Blockchain/Web3,Smart contract code + on-chain tooling,"Contract development, audits, gas optimization",Smart contract developer,"Drafts contracts, runs static analysis","OpenZeppelin AI, Claude Code (contract drafting)",Mandatory human audit before mainnet deploy
AR/VR,3D engine code + spatial interaction design,"Scene scripting, spatial UI, performance optimization",3D/graphics engineer,"Scaffolds interaction logic, automates performance profiling","Unity Muse, Claude Code (scene scripting)",Cross-device performance profiling agents
Robotics,Control systems + simulation code,"Motion planning, sensor fusion, simulation testing",Robotics/controls engineer,Iterates motion planning in simulation,"NVIDIA Isaac (simulation AI), Claude Code (control logic)",Simulation-only iteration before physical deploy
Fintech/Payments,Transaction logic + compliance-heavy code,"Payment gateway integration, fraud rules, ledger systems",Payments engineer,"Drafts fraud rules, reconciliation logic",Claude Code + compliance-review agents (mostly custom-built),Strict human review on money-movement code
Healthtech/EHR,Integration code + compliance (HL7/FHIR),"EHR interoperability, clinical data mapping",Interoperability engineer,Maps HL7/FHIR schemas,Custom agents on HL7/FHIR (nascent vendor tooling),"Human-owned clinical logic, compliance review"
